#,التوقيت,التوقيت الكامل,الوصف,عدد الصور,الروابط
1,03:52,00:03:52:00,انتخابات 2006 (كلا الصورتين),2,https://drive.google.com/file/d/1zJtEjaTmKOrLpRO8kOvtvxaE79w7H1I1/view?usp=drive_link | https://drive.google.com/file/d/1iDUcr9cuIjmqxx-9R6AB1TsNnmTVpoKP/view?usp=drive_link
2,04:12,00:04:12:00,تأجيل انتخابات 2021,1,https://data.arab48.com/data/news/2021/04/29/bodyImages/images/20210429074631.jpg
3,05:16,00:05:16:00,مجلس السلام,1,https://drive.google.com/file/d/1Pb_bMuFHohsJT6WfS2yz8vwQQ27u9-X6/view?usp=drive_link
4,06:15,00:06:15:00,ترمب,1,https://drive.google.com/file/d/14vzL4qs-fwnvdcaCUV6d0ZIuSQsH02bf/view?usp=drive_link
5,07:23,00:07:23:00,إعلان نيويورك,1,https://drive.google.com/file/d/155E2yBGwJW25ncmXA2IR5o-UivCwOR50/view?usp=drive_link
6,11:43,00:11:43:00,بايدن,1,https://drive.google.com/file/d/1JW-glBKGrzQ2vGL8KgToaoD4h3J5F_Wy/view?usp=drive_link
7,15:46,00:15:46:00,شارون,1,https://drive.google.com/file/d/1edT4z98l1Kuvi5T54UN7SrO4Nrg8ktIO/view?usp=drive_link
8,24:05,00:24:05:00,اتفاق أوسلو,1,https://upload.wikimedia.org/wikipedia/commons/f/f2/Bill_Clinton%2C_Yitzhak_Rabin%2C_Yasser_Arafat_at_the_White_House_1993-09-13.jpg?utm_source=ar.wikipedia.org&utm_campaign=imageinfo&utm_content=original
9,33:06,00:33:06:00,حركة فتح,1,https://d2udx5iz3h7s4h.cloudfront.net/2026/5/21/67470b0dd740015febed2ff8/image/ccdf56e9ca834749bee48e5c92aa2edf28375fd12e1c3d51e0ea5253f482e7ce.jpg?width=1440&format=webp&quality=80
10,34:09,00:34:09:00,محمد دحلان,1,https://www.aljazeera.net/wp-content/uploads/2017/08/41f5538f-0cee-41e8-8d57-d0fd0a752abc.jpeg?quality=80
11,34:13,00:34:13:00,ناصر القدوة (الصورة من getty),1,https://www.al-monitor.com/sites/default/files/styles/article_hero_large/public/2024-09/GettyImages-1243517680.jpg?h=f15b89ee&itok=oaqGYt0R
12,38:07,00:38:07:00,مروان البرغوثي,1,https://drive.google.com/file/d/1hq3olUscdfX0f6p3CvsD-83LFslUN7nP/view?usp=drive_link
13,43:27,00:43:27:00,المجلس الوطني الفلسطيني,1,https://www.alaraby.co.uk/sites/default/files/media/images/BED89A07-918B-4DA2-913D-D8797B04D91B.jpg
14,55:13,00:55:13:00,إسماعيل هنية,1,https://drive.google.com/file/d/1Hv5X2WT-S3ZJ66GFyCs5TLW0A4yKjVbM/view?usp=drive_link
15,01:02:32,01:02:32:00,شهداء ودمار غزة (الصور الثلاث),3,https://drive.google.com/file/d/1RRuWyD10WgeweyCLfDZUDVhxdSBy4pyB/view?usp=drive_link | https://drive.google.com/file/d/1U48Dcb7RiNLmr1n0VmfWaqkeNigjyzbL/view?usp=drive_link | https://drive.google.com/file/d/1XVI7-UqYyZRPfpnI-GQt0UjKU4Jn3jlC/view?usp=drive_link
16,01:14:22,01:14:22:00,جبريل الرجوب,1,https://static.srpcdigital.com/styles/1037xauto/public/2024-06/680014.jpeg.webp
17,01:20:03,01:20:03:00,محمد اشتية,1,https://drive.google.com/file/d/1M7Tr-GVBfqKBe7TtmMTcneuFQ3l1FpIa/view?usp=drive_link
18,01:39:03,01:39:03:00,دلال عريقات مع أبو مازن في المجلس الثوري,1,https://pbs.twimg.com/media/HKnIh2VXsAAuZpa?format=jpg&name=large
19,02:04:05,02:04:05:00,نتنياهو,1,https://drive.google.com/file/d/1uOiqeTL4misqCBwulM0xlagSlNIBot13/view?usp=drive_link
20,02:04:23,02:04:23:00,ايزنكوت,1,https://drive.google.com/file/d/16MaH682XLllvnghZUNdBMm8BAkUvQnAV/view?usp=drive_link
21,02:05:12,02:05:12:00,ترمب وبايدن,1,https://drive.google.com/file/d/1I6j4bxTzfsXgiK4W-Dm4R50VNxTOQb5O/view?usp=drive_link
